OLASI SORULAR - PINAR AGENT 35 YAŞINDA ATİNADA YAŞIYOR,CEVAPLAR 
Golden Visa başvurusunda sigorta poliçesi isteniyor mu?,Evet sağlık sigortası gerekmektedir. 
Zorunlu olmasa bile mülk sigortası yaptırmak neden önemlidir?,"Yunanistan’da mülk sigortası yasal bir zorunluluk değildir; ancak yaptırılması son derece önemlidir. Mülk sigortası, olası doğal afetler, yangın, su baskını, deprem, hırsızlık veya üçüncü kişilere verilebilecek zararlar gibi beklenmedik durumlarda mülk sahibini ciddi mali kayıplardan korur. Ayrıca, kiralama veya satış süreçlerinde sigortalı bir mülk, hem daha güvenilir hem de daha değerli kabul edilir. Şirketimiz bünyesindeki sigorta danışmanları, mülkünüzün özelliklerine ve bulunduğu bölgeye göre en uygun teminat kapsamını belirleyerek size özel poliçe çözümleri sunmaktadır."
Sigorta yaptırmazsam yasal bir ceza veya risk olur mu?,Yunanistanda kanunen sigorta yaptırma zorunluluğunuz olmadığı için sigorta yaptırmamanız halinde yasal bir ceza miktarınız bulunmamaktadır
Yunanistan’daki mülk sigortası neleri kapsar?,Yunanistan sigorta sistemi Türkiyedekinin benzeri olarak işler. 
"Sigorta poliçesi yangın, deprem ve sel gibi doğal afetleri içeriyor mu?",Yunanistanda sigortalar Türkiyedeki gibi çok kapsamlıdır. Siz mülkünüzle ilgili hangi kategorilerde sigorta yaptırmak istiyorsanız o şekilde bir sigorta planı oluşturulur
Hırsızlık veya vandalizm hasarları sigorta kapsamına girer mi?,Sigorta türü bu klozları içeriyorsa kapsar 
Bina sigortası ile eşya sigortası arasındaki fark nedir?,"Bina sigortası ile eşya sigortası arasındaki fark, teminat altına alınan şeyin ne olduğuna dayanır. İkisi de konut sigortası kapsamında olabilir ama farklı unsurları güvence altına alırlar:Bina sigortası, yapının kendisini yani fiziksel binayı (duvarlar, çatı, tesisat, merdiven, asansör, garaj vb.) güvence altına alır.Eşya sigortası, evin içindeki taşınabilir eşyaları (mobilya, beyaz eşya, elektronik cihazlar, halılar, giysiler vb.) güvence altına alır."
Apartman aidatına dahil sigorta varsa ayrıca poliçe gerekir mi?,
Yeni inşa edilen bir bina zaten sigortalıysa yeniden sigorta yaptırmalı mıyım?,
Restorasyon veya tadilat sırasında sigorta geçerli olur mu?,"Restorasyon veya tadilat sırasında sigortanın geçerli olup olmadığı, sigorta poliçesinin kapsamına ve sigorta şirketi ile belirleyeceğiniz özel şartlara bağlıdır"
Kiracının verdiği zararlar da sigorta kapsamında mı?,Yaptırdığınız sigorta çeşidinde böyle bir madde varsa geçerlidir
Kısa dönem kiralamalarda (Airbnb vb.) sigorta geçerliliğini korur mu?,Satın alacağınız mülkleri yeni kanuna istinaden kısa dönem (Airbnb gibi) kiralama şansınız bulunmamaktadır
Binanın ortak alanlarındaki hasarlardan kim sorumludur?,Binalarda ortak alanda oluşacak sorunlar için mülk sahiplerinin ortak sorumluluğu bulunmaktadır
"Yunanistan’da hangi sigorta türleri yaygındır (konut, deprem, tam kapsam vb.)?",Belirttiğiniz sigorta çeşitleri en çok yaptırılan sigortalardır
“Full Coverage” (tam kapsamlı) sigorta neyi ifade eder?,
Kira gelirini koruyan özel sigorta türü var mı?,
Sigortayı Yunanistan’daki mi yoksa uluslararası bir şirketten mi yaptırmalıyım?,
Yabancı yatırımcılar için özel sigorta paketleri mevcut mu?,
Sigorta yaptırmak için hangi belgeler gerekir?,Sigortacınızın sizden isteyeceği belgeleri vermeniz yeterlidir. Yunan vergi numaranız ve evin tapusu gibi
"Tapu fotokopisi yeterli mi, yoksa mülk ekspertizi istenir mi?",Tapu fotokopisi yeterlidir
Sigorta sözleşmesi Yunanca mı hazırlanır?,Sigorta sözleşmesi hem Yunanca hemde İngilizce olarak hazırlanabilir
Poliçenin İngilizce versiyonu geçerli midir?,
Sigorta poliçesi banka üzerinden mi ödenir?,Ödemeler banka üzerinden yapılır
Poliçe süresi dolduğunda otomatik yenilenir mi?,Poliçenizin süresi dolmadan size bitiş süresi ve ödemeniz gereken miktar bildirilir. Kabul etmeniz halinde sigorta yenilenir
Poliçeyi erken iptal edersem para iadesi olur mu?,
Sigortayı başka bir şirkete transfer etmek mümkün mü?,evet mümkün transfer edilebilir 
Hasar veya kaza olursa sigorta şirketine nasıl bildirim yapılır?,"unanistan’da Hasar Durumunda Sigorta Süreci Nasıl İşler?
🔹 1. Hasarın tespiti ve bildirim

Herhangi bir hasar, yangın, su baskını, hırsızlık, deprem veya benzeri durum meydana geldiğinde, sigortalı kişi olayı en kısa sürede sigorta şirketine bildirmelidir.

Bildirim genellikle 24 ila 48 saat içinde yapılmalıdır (poliçede belirtilen süreye göre).

Bildirim; telefon, e-posta veya şirketin online platformu üzerinden yapılabilir.

📄 Bildirimde şu bilgiler yer alır:

Poliçe numarası

Hasarın tarihi ve yeri

Hasarın nedeni (örneğin: su sızıntısı, hırsızlık, yangın vb.)

Zararın kapsamı ve tahmini tutarı

🔹 2. Gerekli belgelerin hazırlanması

Sigorta şirketi olayı değerlendirebilmek için aşağıdaki belgeleri ister:

Hasar bildirimi formu

Fotoğraf ve video kayıtları

Olay tutanağı (örneğin hırsızlık varsa polis raporu)

Mülk tapu veya kira sözleşmesi fotokopisi

Fatura ve onarım teklifleri (varsa)

🔸 Şirketimiz bu aşamada müşterilerine belge hazırlığı ve iletişim sürecinde tam destek sağlar.

🔹 3. Eksper (assessor / πραγματογνώμονας) incelemesi

Sigorta şirketi, zararın boyutunu ve nedenini değerlendirmek üzere bir eksper (hasar tespit uzmanı) gönderir.

Eksper mülkü yerinde inceler, fotoğraflar çeker ve rapor hazırlar.

Rapor, sigorta poliçesinin kapsamıyla karşılaştırılarak ödeme onayı sürecine girer.

🔹 4. Değerlendirme ve onay süreci

Eksper raporunun ardından sigorta şirketi, hasarın poliçe kapsamında olup olmadığını belirler.

Onaylanan tutar, sigortalı kişiye veya onarımı yapacak firmaya ödenir.

Bu süreç genellikle 15–30 iş günü içinde tamamlanır.

💡 Bazı durumlarda küçük hasarlar için eksper ziyareti gerekmeden doğrudan ödeme yapılabilir.

🔹 5. Onarım ve tazminat ödemesi

Sigorta şirketi, hasar türüne göre ya nakit tazminat ödemesi yapar ya da onarım hizmeti sağlar.

Ödeme genellikle banka havalesiyle yapılır.

Büyük çaplı hasarlarda şirket, onarım sürecini yerel müteahhitlerle organize edebilir.

🔹 6. Belgelerin saklanması

Hasarla ilgili tüm belgelerin (faturalar, ekspertiz raporu, yazışmalar) en az 5 yıl süreyle saklanması önerilir.

Bu, olası vergi denetimleri veya ek hasar talepleri için önemlidir.

🔹 7. Şirketimizin rolü

Bizim Sigorta ve Mülk Yönetimi Departmanımız, hasar durumunda:

Sigorta şirketiyle iletişimi yürütür,

Belgeleri hazırlar ve eksiksiz teslim edilmesini sağlar,

Eksper ziyaretini organize eder,

Tazminat sürecini baştan sona takip eder.

Böylece yatırımcı, Yunanistan’da bulunmasa bile tüm süreç profesyonel olarak yönetilir."
Hasar dosyası için hangi belgeler gerekir?,"Yunanistan’da Hasar Dosyası İçin Gerekli Belgeler
🔹 1. Genel belgeler (her tür hasar için zorunludur)

Bu belgeler her dosyada bulunmak zorundadır:

Hasar Bildirim Formu (Claim Form) → sigorta şirketine doldurulup gönderilir.

Sigorta Poliçesi (Insurance Policy Copy) → poliçenin tam kopyası.

Kimlik veya Pasaport Fotokopisi → sigorta sahibine ait.

Vergi Numarası (AFM) → Yunanistan’daki kimlik numarası.

Tapu veya Kira Sözleşmesi Kopyası → mülkiyet veya kullanım hakkını kanıtlar.

Fotoğraf ve Video Kanıtları → hasarın oluştuğu alan ve zarar detaylarını gösterir.

Hasarın Tarihi ve Nedeni → yazılı kısa açıklama (örneğin: su sızıntısı, deprem, yangın, hırsızlık).

🔹 2. Hasarın türüne göre ek belgeler
🔸 A) Su baskını, sızıntı veya boru patlaması

Onarım teklifleri veya fatura örnekleri,

Teknik rapor (mühendis veya tesisat uzmanı tarafından hazırlanmış olabilir),

Eğer apartman dairesiyse, yönetimden olayla ilgili tutanak.

🔸 B) Yangın veya elektrik kaynaklı hasar

İtfaiye raporu (Fire Department Report),

Elektrik şirketinden kesinti veya arıza raporu (varsa),

Hasar gören eşyaların listesi ve tahmini değerleri.

🔸 C) Hırsızlık veya vandalizm

Polis tutanağı (Police Report – Υπηρεσία Ασφαλείας tarafından düzenlenmiş),

Hasar gören kapı/pencere fotoğrafları,

Çalınan eşyaların listesi ve varsa fatura kopyaları.

🔸 D) Doğal afet (deprem, fırtına, sel)

Meteoroloji veya yerel otoritelerden alınan olay raporu,

Yapısal hasar varsa mühendisin teknik raporu,

Gerekirse belediye tarafından düzenlenen acil durum raporu.

🔹 3. Faturalar ve onarım belgeleri

Hasarın giderilmesi için yapılan onarım, temizlik veya malzeme masraflarına ait faturalar.

Bu belgeler, sigorta şirketinin ödemeyi onaylaması için gereklidir.

Eğer hasar henüz onarılmadıysa, teklif (quotation / estimate) sunulabilir.

🔹 4. Eksper raporu (Assessor’s Report)

Sigorta şirketi tarafından atanan eksper (hasar tespit uzmanı), olay yerinde inceleme yapar ve resmi rapor düzenler.

Bu rapor, tazminat tutarının belirlenmesinde temel belgedir.

Eksper raporu tamamlanmadan ödeme yapılmaz."
Tazminat ödemesi ne kadar sürede yapılır?,"Yunanistan’da Sigorta Tazminat Ödemesi Nasıl Yapılır?
🔹 1. Eksper incelemesi ve onay süreci

Hasar bildirimi yapıldıktan sonra sigorta şirketi bir eksper (assessor / πραγματογνώμονας) görevlendirir.
Eksper mülkü yerinde inceler, hasarın nedenini ve kapsamını belirler, ardından resmî bir rapor hazırlar.
Bu rapor, sigorta şirketinin ödeme kararının temelidir.

🟡 Eksper raporu olmadan tazminat ödemesi yapılmaz.
Küçük çaplı hasarlarda ise eksper ziyareti olmadan, yalnızca fotoğraflar ve faturalar üzerinden ödeme yapılabilir.

🔹 2. Hasar dosyasının değerlendirilmesi

Sigorta şirketi, eksper raporunu aldıktan sonra:

Poliçedeki teminatları (coverage) kontrol eder,

Hasarın poliçe kapsamında olup olmadığını teyit eder,

Ödenecek tazminat tutarını belirler.

Bu süreç genellikle 10–30 iş günü sürer.

🔹 3. Onarım ve ödeme seçenekleri

Sigorta şirketi, poliçenin türüne göre iki farklı şekilde ödeme yapabilir:

🔸 A) Nakit Tazminat (Bank Transfer)

Sigorta şirketi, onaylanan tutarı doğrudan sigortalı kişinin Yunanistan’daki banka hesabına gönderir.

Ödeme, genellikle banka havalesi (SEPA transferi) ile yapılır.

Hesap sigorta poliçesinde belirtilen kişinin adına olmalıdır.

🔸 B) Doğrudan Onarım (Repair Settlement)

Bazı durumlarda, şirket doğrudan onarım firmasıyla çalışır.

Sigorta, mülk sahibinin onayladığı bir yükleniciye ödemeyi doğrudan yapar.

Bu yöntem genellikle su hasarı, küçük yapısal onarımlar veya yangın sonrası tadilatlarda tercih edilir.

🔹 4. Ödeme belgeleri

Tazminatın ödenebilmesi için şu belgelerin eksiksiz sunulması gerekir:

Hasar bildirimi formu,

Eksper raporu,

Onarım faturaları veya masraf teklifleri,

IBAN ve banka bilgileri,

Sigorta poliçesi kopyası,

Kimlik veya pasaport fotokopisi.

🔹 5. Ödeme süresi

Belgeler tamamlandıktan ve dosya onaylandıktan sonra ödeme genellikle 10 iş günü içinde yapılır.

Büyük çaplı hasarlarda veya ekspertiz gerektiren durumlarda bu süre 30 güne kadar uzayabilir.

🔹 6. Vergi ve beyan durumu

Sigorta tazminat ödemeleri genellikle vergiye tabi değildir, çünkü bu tutarlar zarar telafisi niteliğindedir.

Ancak, ticari nitelikte bir mülkte (örneğin kiraya verilmiş bina) elde edilen tazminatlar gelir olarak beyan edilebilir.

Bu durumlarda muhasebeci veya vergi danışmanımız gerekli yönlendirmeyi yapar.

🔹 7. Şirketimizin rolü

Mülk Yönetimi ve Sigorta Departmanımız, tazminat sürecinde yatırımcılara şu konularda destek sağlar:

Belgelerin hazırlanması ve teslimi,

Eksperle iletişim ve yerinde yönlendirme,

Sigorta şirketiyle yazışmaların takibi,

Ödemenin tamamlanmasına kadar sürecin izlenmesi.

Bu sayede mülk sahibi Yunanistan’da bulunmasa bile tazminat ödemesi eksiksiz ve hızlı şekilde gerçekleşir."
Hasar tazminatı doğrudan mülk sahibine mi ödenir?,"Hasar Tazminatı Kime Ödenir?
🔹 1. Ana kural: Ödeme doğrudan mülk sahibine yapılır

Sigorta poliçesi kimin adına düzenlendiyse, tazminat da o kişi veya tüzel kişiliğe (örneğin şirket adına kayıtlıysa şirkete) ödenir.

Ödeme genellikle banka havalesi (IBAN transferi) yoluyla yapılır.

IBAN numarasının sigorta poliçesinde yer alan kişiyle aynı olması zorunludur.

💡 Örnek:
Mülk “Ali Demir” adına kayıtlıysa, tazminat da doğrudan Ali Demir’in Yunanistan’daki banka hesabına yatırılır.

🔹 2. İstisna: Onarım firmalarına doğrudan ödeme

Bazı durumlarda, özellikle su baskını, yangın veya yapısal hasarlarda, mülk sahibi onarım sürecini hızlandırmak isterse:

Sigorta şirketi, onaylanan tazminatı doğrudan onarım firmasına veya müteahhide ödeyebilir.

Bu durumda, mülk sahibinin yazılı onayı (payment authorization) gerekir.

Onarım tamamlandığında ödeme belgeleri sigorta şirketine sunulur.

Bu yöntem, sigorta poliçesi “repair settlement” esasına göre düzenlenmişse mümkündür.

🔹 3. Vekil veya temsilciye ödeme

Eğer mülk sahibi Yunanistan’da değilse ve süreç şirketimiz tarafından yönetiliyorsa:

Sigorta şirketi, noter onaylı vekaletname kapsamında tazminatı yetkili temsilciye ödeyebilir.

Bu durumda temsilci, ödemeyi aldıktan sonra tutarı mülk sahibine aktarır.

Tüm transferler banka dekontu ile belgelenir.

🔸 Bu sistem, yurtdışında yaşayan yatırımcılar için en sık tercih edilen yöntemdir.

🔹 4. Kiracılı mülklerde durum

Mülkte kiracı varsa ve hasar kiracının kullanımından kaynaklanmışsa, sigorta tazminatı genellikle:

Mülk sahibine,

Ancak bazı durumlarda, kiracının zararına ilişkin kısım için kiracıya veya kiracının sigortasına ödenir.
Bu ayrım poliçedeki “insured party” tanımına göre yapılır.

🔹 5. Ödeme şekli ve süresi

Tazminat ödemeleri banka transferiyle (SEPA) yapılır, nakit ödeme uygulanmaz.

Belgelerin onaylanmasından sonra genellikle 10 iş günü içinde tamamlanır.

Sigorta şirketi ödeme yaptığında, ödeme dekontu ve onay yazısı mülk sahibine veya temsilciye gönderilir."
Mülk yurtdışından yönetiliyorsa hasar süreci nasıl yürütülür?,Bu işlemleri Firmamız yürütmektedir 
Mülk sigortası yıllık ortalama ne kadara mal olur?,
Prim tutarı mülkün konumuna ve değerine göre nasıl hesaplanır?,
Eski binalarda sigorta primi daha mı yüksek olur?,
Bankadan konut kredisiyle alınan mülklerde sigorta zorunlu mu?,Evet  uygulama Türkiye ile paralellik göstermektedir ve sigorta zorunludur. Ancak oturum izninden yararlanmak için mülk satın almak istiyorsanız paranın transferinin yurtdışından yapılması gerektiği için Yunanistandan  kredi kullanma şansınız bulunmamaktadır
Sigorta ödemeleri kredi kartı veya otomatik ödeme ile yapılabilir mi?,Sigorta ödemenizi kredi kartı ile yada banka kartınız ile yapabilirsiniz
Oturum izni başvurusunda mülk sigortası poliçesi sunmak gerekir mi?,
Sağlık sigortası ile mülk sigortası aynı belge midir?,Sağlık sigortası herhangi bir kaza yada hastalık halinde şahsınıza özel yapılan bir sigortadır. Mülk sigortası ise evinize ait doğabilecek kaza ve hasarlara mahsus yapılan sigortadır
Oturum izni yenilenirken sigorta poliçesinin süresi önemli mi?,Mülk sigortasi ile oturum izni arasında bir ilişki bulunmamaktadır. 
Mülk sigortası oturum izni avantajı sağlar mı?,Mülk sigortası yaptırmanız oturum izni ayrıcalığı sağlamaz
Mülk sigortası olmadan oturum izni reddedilir mi?,Oturum izni alırken mülk sigortası yaptırma zorunluluğunuz bulunmamaktadır
Sigorta belgeleri dijital olarak düzenlenebilir mi?,Evet düzenlenebilir
Sigorta poliçesi vergi avantajı sağlar mı?,Mülk için yapılan sigortanın vergi indirim avantajı vardır . Emlak vergisini daha az ödersiniz. 
Mülkü satarsam sigorta poliçesini devredebilir miyim?,evet sigorta poliçesi devir edilebilir 
Sigorta yenilemesi için Yunanistan’da bulunmak gerekir mi?,Sigorta yaptırmak yada yapılan sigortanızı yenilemek için Yunanistanda bulunma zorunluluğunuz yoktur
Sigorta teminatı bitmeden mülk el değiştirirse poliçe iptal olur mu?,"Mülk Satışı Durumunda Sigorta Poliçesinin Geçerliliği
🔹 1. Mülk el değiştirirse mevcut poliçe otomatik olarak geçerliliğini kaybeder

Yunanistan’da mülk sigortası poliçeleri, mülkün sahibine bağlı olarak düzenlenir (property–owner linked).
Yani sigorta sözleşmesi, poliçede adı geçen sigorta ettiren kişi için geçerlidir.

➡️ Bu nedenle mülk satıldığında:

Eski sigorta poliçesi otomatik olarak geçersiz hale gelir,

Yeni mülk sahibi için yeni bir poliçe düzenlenmesi gerekir.

🟡 Kısaca: Sigorta poliçesi mülkle birlikte devredilmez, kişi bazında geçerlidir.

🔹 2. Poliçe iptali ve prim iadesi

Mülk el değiştirdiğinde, mevcut sigorta sahibi (eski malik) sigorta şirketine yazılı bildirimde bulunarak:

Poliçenin iptalini (cancellation) talep edebilir,

Poliçenin kalan süresine karşılık gelen kullanılmamış prim (unused premium) tutarını geri alabilir.

Bu işlem için:

Satış sözleşmesi (noter onaylı kopya),

Poliçe numarası,

IBAN bilgisi
sigorta şirketine iletilir.
İptal ve iade işlemi genellikle 10–15 iş günü içinde tamamlanır.

🔹 3. Yeni sahibin sorumluluğu

Yeni malik, sigorta poliçesini kendi adına yeniden düzenletmek zorundadır.
Bu süreçte:

Yeni tapu kaydı,

Kimlik/pasaport,

Vergi numarası (AFM),

Mülkün detayları (adres, metrekare, kullanım türü)
gerekir.

💡 Sigortasız mülklerde olası bir hasar durumunda tazminat talebi kabul edilmez.
Bu nedenle tapu devrinin hemen ardından yeni poliçenin çıkarılması tavsiye edilir.

🔹 4. Kredi veya ipotekli mülklerde durum

Eğer mülk bir banka kredisiyle alınmışsa, sigorta poliçesi genellikle bankanın teminatı altındadır.
Bu durumda:

Banka, yeni malik adına sigorta devamını veya yeniden düzenlenmesini talep eder.

Poliçedeki lehtar (beneficiary) banka olduğu için, satış sonrası poliçe mutlaka güncellenmelidir.

🔹 5. Kiralama veya kısa dönem devri durumunda

Mülk yalnızca kiralanıyorsa, sigorta poliçesi iptal olmaz.

Ancak kiracının sorumluluk alanı (örneğin yangın veya su hasarı kaynaklı zararlar) poliçede kiracı sorumluluk teminatı (tenant liability coverage) olarak ayrıca belirtilmelidir."
Yunanistan’da oturum izni sahibi mülkünü kiraya verebilir mi?,Yunanistanda satın aldığınız mülkü kiraya vererek euro bazında kira geliri elde edebilirsiniz
Oturum izni almak için satın alınan mülkün kiraya verilmesinde bir kısıtlama var mı?,Oturum izninde satın aldığınız mülkü kiraya verme konusunda bir kısıtlama bulunmamaktadır
Kiralama oturum iznini etkiler mi?,Aldığınız mülkü kiraya vermeniz oturum izni açısından herhangi bir sorun teşkil etmez
dikkat edilmesi gereken hususlar ,"Yasal Belgeler ve Vekalet

Tüm belgeler (pasaport, sabıka kaydı, gelir beyanı vb.) Apostil şerhi ile onaylanmalı ve Yunanca tercüme edilmelidir.

Eğer işlemler avukat aracılığıyla yürütülecekse, doğru hazırlanmış vekaletname çok önemlidir.

Vekaletin Yunanca düzenlenmesi ve Yunan makamlarınca kabul edilecek şekilde hazırlanması gerekir. Vereceğiniz vekalette bankanıza erişim olmalalı ve Yunanistan'daki mülklerinizin satışı ile ilgili herhangi bir hak verilmemeli "
Kiralama için resmi izin almak gerekir mi?,evinizi kiralamak için herhangi bir izin almanız gerekmemektedir. 
Kira sözleşmesinin süresi ne kadar olmalı?,Kira sözleşmesini tarafların karşılıklı talepleri doğrultusunda 1 ila 3 yıllık bir süreç için düzenlemek en mantıklı seçenektir
dikkat edilmesi gereken hususlar ,"Doğru Gayrimenkul Seçimi

Satın alınacak mülkün tapu kaydı temiz olmalıdır (ipotek, haciz veya yasal engel olmamalı).

Gayrimenkulün resmi değeri, oturum izni için belirlenen asgari yatırım tutarına (400.000 € veya 800.000 €) eşit veya üzerinde olmalıdır.

Türkiye’ye yakın bazı adalarda üçüncü ülke vatandaşlarının mülk alması yasaktır, bu nedenle konum seçimi yapılırken bu durum mutlaka dikkate alınmalıdır.

Yeni inşa (under construction) projelerde satın alma yapılıyorsa, mülkün tamamlandığını gösteren belgeler eksiksiz olmalıdır."
Kiralama işlemi noter onaylı mı olmalı?,kiralama işlemi noterde yapılmaz 
Kiralama gelirinden vergi ödemek zorunlu mu?,"1. Evet, kira geliri vergilendirilir

Yunanistan’da elde edilen her türlü kira geliri, yasal olarak gelir vergisine tabidir (Income Tax on Rental Income).
Bu, hem Yunanistan’da ikamet eden kişiler hem de yabancı yatırımcılar (non-residents) için geçerlidir.

💡 Yani, oturum izni sahibi ya da yabancı yatırımcı olmanız fark etmez —
Yunanistan’da gelir elde ediyorsanız, bu gelir için vergi beyanı zorunludur.

🔹 2. Vergi oranları (artan oranlı sistem)

Vergi oranı, yıllık toplam kira gelirine göre kademeli olarak uygulanır:

Yıllık Kira Geliri (€)	Vergi Oranı
0 – 12.000 €	%15
12.001 – 35.000 €	%35
35.001 € ve üzeri	%45

📍 Örnek:
Bir yatırımcı yılda 18.000 € kira geliri elde ediyorsa:

İlk 12.000 € → %15 vergilendirilir = 1.800 €

Kalan 6.000 € → %35 vergilendirilir = 2.100 €
Toplam vergi: 3.900 €

🔹 3. Yıllık beyan zorunluluğu

Kira gelirleri her yıl AADE (Yunanistan Vergi Dairesi) sisteminde beyan edilir.
Bu beyan genellikle Mart–Haziran döneminde yapılır.
Beyan yapılmazsa veya eksik yapılırsa, ceza ve faiz uygulanır.

🟡 Kira gelirinin beyan edilmesi, aynı zamanda oturum izni yenileme sürecinde de güvenilirlik açısından önemlidir.

🔹 4. Vergiden düşülebilen giderler

Mülk sahipleri, kira gelirinden belirli giderleri düşebilir:

Emlak vergisi (ENFIA),

Mülk bakım giderleri,

Sigorta masrafları,

Mülk yönetimi hizmet bedelleri.

Bu giderlerin belgeli (faturalı) olması şarttır.

🔹 5. Çifte vergilendirmeyi önleme (Türkiye – Yunanistan anlaşması)

Türkiye’de vergi mükellefi olan yatırımcılar için geçerli olan çifte vergilendirmeyi önleme anlaşması sayesinde:

Yunanistan’da ödenen kira vergisi,

Türkiye’de beyan edilen gelir vergisinden mahsuben düşülebilir.

Bu sayede aynı gelir için iki ülkede birden vergi ödemezsin.

🔹 6. Kısa dönem kiralamalarda (Airbnb vb.)

Kısa dönemli kiralamalarda da vergi yükümlülüğü aynıdır.
Bu tür gelirler için ayrıca %13 KDV (vatandaşlık statüsüne bağlı olarak) uygulanabilir.
Gelir beyanı yine AADE sistemi üzerinden yapılır.

🔹 7. Şirketimizin desteği

Mülk Yönetimi ve Vergi Departmanımız, kira gelirlerinin beyanı ve vergilendirme sürecinde müşterilerine:

Gelir hesaplama,

Vergi beyanı hazırlığı,

Yıllık raporlama,

Muhasebe danışmanlığı
konularında tam destek sağlamaktadır."
Kira sözleşmesi dijital olarak düzenlenebilir mi?,evet önce normal bir sözleşme yapılır ondan sonra taxis sistemi ( türkiyedeki edevlet benzeri ) ne yüklenir ve kiracı kabul aşamasını onayladıktan sonra resmi kiralama başlar 
Kira sözleşmesi Yunanca mı olmalı?,kira sözleşmesi yunanca hazırlanır ama ingilizceye çevirisini de size gönderiyoruz 
Kira sözleşmesi vergi dairesine bildirilmeli mi?,kira sözleşmesi vergi dairesine bildirilmek zorundadır. vergi dairesine bildirilmeyen kira kontratları geçerli sayılmaz 
Uzun dönemli kiralama nedir?,Uzun dönem kiralama; minimum 1 yıl ve üzerinde kiralanan mülkler için kullanılan bir tabirdir
Uzun dönem kiracılar için depozito oranı ne kadardır?,Uzun dönem kiralama minimum 1 yıldan başlamaktadır
"Kiracı elektrik, su ve aidatları öder mi?","Mülkü kiralayan kişi, kullandığı elektrik ve su faturalarını ödemekle yükümlüdür. Apartman aidatında ise demirbaş ödemelerin haricindeki ödemeyi yine kiracı yapacaktır"
Uzun dönem kiralamalarda sigorta yaptırmak gerekir mi?,Uzun dönem kiralamalarda sigorta zorunluluğu bulunmamaktadır
Kira artışı her yıl nasıl belirlenir?,Kira artışı mülkü kiralama aşamasında kira kontratında yıllık artış miktarı olarak belirtilecek ve her yıl sonunda belirtilen miktarda artış yapılacaktır.
Kira sözleşmesi sona erdiğinde yenileme zorunlu mu?,Kira sözleşmesi sona erdiğinde yeniden bir kira sözleşmesi düzenlenecektir
Uzun dönem kiralamalarda avukat desteği gerekir mi?,Kiraya verdiğiniz mülkten elde ettiğiniz geliri bir sonraki vergi  dönemde vergilendirmeniz kanunen gerekmektedir. Bu işlemi talep etmeniz halinde sizler adına firmamız yapmaktadır
Yunanistan’da kısa dönem kiralama (Airbnb tipi) yasal mı?,Satın alacağınız mülklerin kısa süreli kiralanması (Airbnb tarzında) yeni düzenleme ile kanunen mümkün bulunmamaktadır
Kısa dönem kiralamalar için özel lisans (AMA numarası) almak gerekir mi?,Yeni düzenleme ile oturum iznine bağlı olan bir mülk kısa dönemli kiralanamaz . Ancak oturum izni dışında yatırımsal anlamda aldığınız mülkü kısa dönemli kiralayabilirsiniz . Bunun için kısa dönem kiralama sicil numarası almak zorunluluğu vardır. 
Airbnb gibi platformlarda mülk listelemek için vergi numarası gerekir mi?,Yunanistanda yaptığınız her işlemde vergi numarası alma zorunluluğu vardır . 
Kısa dönem kiralamalarda gelir vergisi oranı nedir?,Yeni düzenlemeler ile; Kısa dönem kiralama yapılması kanunen mümkün bulunmamaktadır. Eğer yatırım anlamında oturum izninden ayrı bir mülk almayı düşünürseniz gelir vergisi ödemek zorunda kalırsınız bu gelir üzerinden %22 olarak hesaplanır 
Kısa dönem kiralamalarda yıllık kira sayısı sınırlı mı?,Yeni düzenlemeler ile; Kısa dönem kiralama yapılması kanunen mümkün bulunmamaktadır
Oturum izni sahibi kısa dönem kiralama yapabilir mi?,Yeni düzenlemeler ile; Kısa dönem kiralama yapılması kanunen mümkün bulunmamaktadır
"Kısa dönem kiralamalarda temizlik, bakım gibi giderleri kim öder?",Yeni düzenlemeler ile; Kısa dönem kiralama yapılması kanunen mümkün bulunmamaktadır
Kısa dönem kiracılar için sigorta gerekir mi?,Yeni düzenlemeler ile; Kısa dönem kiralama yapılması kanunen mümkün bulunmamaktadır
Airbnb’de kiralama yaparken beyan zorunluluğu var mı?,Yeni düzenlemeler ile; Kısa dönem kiralama yapılması kanunen mümkün bulunmamaktadır
Yunanistan hükümeti kısa dönem kiralamaları nasıl denetliyor?,Yeni düzenlemeler ile; Kısa dönem kiralama yapılması kanunen mümkün bulunmamaktadır
Kira gelir vergisi oranları nelerdir?,"Güncel vergi oranları (2025 itibarıyla)
Yıllık Kira Geliri (€)	Vergi Oranı
0 – 12.000 €	%15
12.001 – 35.000 €	%35
35.001 € ve üzeri	%45

📌 Örnek:
Bir mülk sahibi yılda 20.000 € kira geliri elde ediyorsa;

İlk 12.000 € için %15 → 1.800 €

Kalan 8.000 € için %35 → 2.800 €
Toplam vergi: 4.600 €"
Kiralama gelirleri hangi sıklıkla beyan edilir?,"Kiralama geliri bir önceki yıl elde edilen kira gelirinin, bir sonraki yıl vergilendirme döneminde tahakkuk ettirilmesi ile gerçekleşecektir"
Yunanistan’da vergi beyannamesini kim doldurur?,yunanistanda vergi beyanları ve vergisel işlerle alakalı herşeyi muhasebeciler yapar 
Yabancı yatırımcılar için vergi muafiyeti var mı?,Yabancı yatırımcılar için herhangi bir vergi muafiyeti bulunmamaktadır. 
